creationDate,startDate,endDate
2019-03-06 08:57:46 -0500,2019-03-06 03:35:00 -0500,2019-03-06 08:57:46 -0500
2019-03-07 09:45:26 -0500,2019-03-07 03:35:00 -0500,2019-03-07 09:45:26 -0500
2019-03-08 09:05:08 -0500,2019-03-08 04:34:08 -0500,2019-03-08 09:05:02 -0500
2019-03-11 09:55:02 -0500,2019-03-11 04:35:00 -0500,2019-03-11 08:53:40 -0500
2019-03-11 09:55:02 -0500,2019-03-11 08:56:00 -0500,2019-03-11 08:56:24 -0500
2019-03-11 09:55:02 -0500,2019-03-11 08:57:16 -0500,2019-03-11 08:58:28 -0500
2019-03-11 09:55:02 -0500,2019-03-11 09:03:08 -0500,2019-03-11 09:03:36 -0500
2019-03-11 09:55:02 -0500,2019-03-11 09:07:00 -0500,2019-03-11 09:08:24 -0500
2019-03-11 09:55:02 -0500,2019-03-11 09:10:04 -0500,2019-03-11 09:10:36 -0500
2019-03-11 09:55:02 -0500,2019-03-11 09:13:20 -0500,2019-03-11 09:13:32 -0500
2019-03-11 09:55:02 -0500,2019-03-11 09:15:12 -0500,2019-03-11 09:15:32 -0500
2019-03-11 09:55:02 -0500,2019-03-11 09:16:40 -0500,2019-03-11 09:22:40 -0500
2019-03-11 09:55:02 -0500,2019-03-11 09:39:44 -0500,2019-03-11 09:40:44 -0500
2019-03-11 09:55:02 -0500,2019-03-11 09:43:12 -0500,2019-03-11 09:45:20 -0500
2019-03-18 06:58:55 -0500,2019-03-18 00:25:00 -0500,2019-03-18 06:58:55 -0500
2019-03-19 08:50:11 -0500,2019-03-19 00:25:00 -0500,2019-03-19 07:19:04 -0500
2019-03-19 08:50:11 -0500,2019-03-19 07:19:40 -0500,2019-03-19 07:55:48 -0500
2019-03-19 08:50:11 -0500,2019-03-19 07:57:16 -0500,2019-03-19 07:59:00 -0500
2019-03-19 08:50:11 -0500,2019-03-19 07:59:52 -0500,2019-03-19 08:01:08 -0500
2019-03-19 08:50:11 -0500,2019-03-19 08:02:36 -0500,2019-03-19 08:08:00 -0500
2019-03-19 08:50:11 -0500,2019-03-19 08:23:00 -0500,2019-03-19 08:25:36 -0500
2019-03-19 08:50:11 -0500,2019-03-19 08:41:00 -0500,2019-03-19 08:50:11 -0500
2019-03-20 08:03:07 -0500,2019-03-20 01:46:28 -0500,2019-03-20 07:54:16 -0500
2019-03-20 08:03:07 -0500,2019-03-20 07:55:00 -0500,2019-03-20 08:03:02 -0500
2019-03-21 08:50:07 -0500,2019-03-21 08:42:04 -0500,2019-03-21 08:43:32 -0500
2019-03-22 08:14:34 -0500,2019-03-22 03:33:24 -0500,2019-03-22 08:14:28 -0500
2019-03-26 08:55:02 -0500,2019-03-26 01:50:00 -0500,2019-03-26 08:55:01 -0500
2019-03-27 07:58:19 -0500,2019-03-27 01:15:00 -0500,2019-03-27 07:58:18 -0500
2019-03-28 07:56:06 -0500,2019-03-28 01:15:00 -0500,2019-03-28 07:56:06 -0500
2019-03-29 08:14:22 -0500,2019-03-29 02:34:56 -0500,2019-03-29 08:14:16 -0500
2019-04-01 07:01:47 -0500,2019-04-01 01:15:00 -0500,2019-04-01 07:01:47 -0500
2019-04-02 08:30:24 -0500,2019-04-02 07:30:18 -0500,2019-04-02 08:30:18 -0500
2019-04-03 07:52:48 -0500,2019-04-03 01:15:00 -0500,2019-04-03 07:52:47 -0500
